5899	6642	6063	6484	6009	5713
1334	1260	1255	1283	1270	1206
12655	13332	12533	12438	13097	13273
3771	3207	3249	3069	2963	3154
127000	140700	132680	138000	150660	154060
10114	8333	8873	8975	9002	10368
9938	10031	9584	9294	9202	7187
2785	2170	1890	1740	2042	2281
1267	1910	3624	4771	4552	9410
72023	69770	69102	70239	71914	74868
31009	33811	31991	33918	36907	37533
2026	2554	2257	2121	2117	1809
1272	1289	1285	1257	1513	1680
39856	38382	39329	42441	46517	46243
7957	7280	7778	8037	7637	7756
3989	3722	3269	2849	3566	4058
6974	6790	6749	6996	6894	7526
3188	3312	3202	3203	3664	4104
9362	8973	8706	8097	8144	7473
1836	2021	1959	1949	2021	2370
27500	30190	29800	30000	30030	30750
18570	17901	18285	18256	18593	16452
27151	26395	26594	26716	27339	29669
9861	10017	10177	9910	9940	9108
2613	2569	2594	3005	3194	3559
4765	4562	3903	2910	1471	167
1611	1618	1561	1674	1568	1675
2004	1907	1958	2078	2068	2378
7116	7284	7360	8819	8414	8633
2190	2310	2210	2050	2090	2050
22991	24470	21484	22936	22178	22625
4669	4573	3999	3847	3942	4293
93096	87325	82966	77447	78587	78364
27631	27138	27183	27581	28450	30004
1166	1226	1155	1141	1121	1171
20976	20672	20893	20425	20102	20605
4709	4294	4723	5014	4995	3797
8610	8942	8506	8735	8688	6991
31818	30881	30011	30364	31018	32123
2649	2479	3101	2817	2102	2611
5778	5736	5112	4646	5101	5468
444	472	497	382	414	125
11411	11235	10810	10880	9719	10850
55287	53481	53277	55140	57929	55132
3176	3008	2923	3082	2922	3120
1265	1298	1203	1204	1195	1227
18663	17058	15381	16474	15601	15604
17098	17080	17207	17264	17262	16909
1519	1428	1436	1507	1183	1001
5660	5612	5818	6224	6511	6430
90	110	140	100	90	100
